,Product,Name,Type,Coeff,Unit,Model,
0,h2_dri_eaf,Steel Production,capacity,lin,mtpy,1953600,
1,h2_dri_eaf,Pig Iron Production,capacity,lin,mtpy,2328689.051,
2,h2_dri_eaf,Capacity Factor,capacity,lin,%,100,
3,h2_dri_eaf,Iron Ore,feed,lin,mt ore / mt steel,1.62927,
4,h2_dri_eaf,Reformer Catalyst,feed,lin,m3 catalyst/mt steel,0,
5,h2_dri_eaf,Hydrogen,feed,lin,mt H2 / mt steel,0.06596,
6,h2_dri_eaf,Natural Gas,feed,lin,GJ-LHV NG / mt steel,0.71657,
7,h2_dri_eaf,Electricity,feed,lin,MWh / mt steel,0.5502,
8,h2_dri_eaf,Carbon (Coke),feed,lin,mt C / mt steel,0.0538,
9,h2_dri_eaf,Lime,feed,lin,mt lime / mt steel,0.01812,
10,h2_dri_eaf,Raw Water Withdrawal,feed,lin,mt H2O / mt steel,0.80367,
11,h2_dri_eaf,Carbon Dioxide (Methane as Fuel),emission,lin,mt CO2 / mt steel,0.03929,
12,h2_dri_eaf,Carbon Dioxide (Carbon),emission,lin,mt CO2 / mt steel,0.17466,
13,h2_dri_eaf,Slag,emission,lin,mt slag / mt steel,0.17433,
14,h2_dri_eaf,Surface Water Discharge,emission,lin,mt H2O discharged/mt H2O withdrawn,0.42113,
15,h2_dri_eaf,Steelmaking efficiency,efficiency,lin,%,60.07,
16,h2_dri_eaf,Reformer Furnace & Stack Air Blower,feed,lin,kW / mtpy steel,0,
17,h2_dri_eaf,Process Gas recycle,feed,lin,kW / mtpy steel,0,
18,h2_dri_eaf,DRI Scrubber Electricity,feed,lin,kW / mtpy steel,0.000122575,
19,h2_dri_eaf,Cooling Tower & Water Circulation Electricity,feed,lin,kW / mtpy steel,0.000760857,
20,h2_dri_eaf,Oxygen Supply Electricity,feed,lin,kW / mtpy steel,0.010389687,
21,h2_dri_eaf,Electric Arc Furnace Electricity,feed,lin,kW / mtpy steel,0.041202278,
22,h2_dri_eaf,Ladle Refining Electricity,feed,lin,kW / mtpy steel,0.003218638,
23,h2_dri_eaf,Miscellaneous Balance of Plant Electricity,feed,lin,kW / mtpy steel,0.007113805,
24,h2_dri,Steel Production,capacity,lin,mtpy,1953600,
25,h2_dri,Pig Iron Production,capacity,lin,mtpy,2328689.051,
26,h2_dri,Capacity Factor,capacity,lin,%,100,
27,h2_dri,Iron Ore,feed,lin,mt ore / mt steel,1.62927,
28,h2_dri,Reformer Catalyst,feed,lin,m3 catalyst/mt steel,0,
29,h2_dri,Hydrogen,feed,lin,mt H2 / mt steel,0.06596,
30,h2_dri,Natural Gas,feed,lin,GJ-LHV NG / mt steel,0.622287755,
31,h2_dri,Electricity,feed,lin,MWh / mt steel,0.117029561,
32,h2_dri,Carbon (Coke),feed,lin,mt C / mt steel,0,
33,h2_dri,Lime,feed,lin,mt lime / mt steel,0,
34,h2_dri,Raw Water Withdrawal,feed,lin,mt H2O / mt steel,0.642938077,
35,h2_dri,Carbon Dioxide (Methane as Fuel),emission,lin,mt CO2 / mt steel,0.029631801,
36,h2_dri,Carbon Dioxide (Carbon),emission,lin,mt CO2 / mt steel,0.377646164,
37,h2_dri,Slag,emission,lin,mt slag / mt steel,0,
38,h2_dri,Surface Water Discharge,emission,lin,mt H2O discharged/mt H2O withdrawn,0.270760315,
39,h2_dri,Steelmaking efficiency,efficiency,lin,%,87.988,
40,h2_dri,Reformer Furnace & Stack Air Blower,feed,lin,kW / mtpy steel,0,
41,h2_dri,Process Gas recycle,feed,lin,kW / mtpy steel,0,
42,h2_dri,DRI Scrubber Electricity,feed,lin,kW / mtpy steel,0.000122575,
43,h2_dri,Cooling Tower & Water Circulation Electricity,feed,lin,kW / mtpy steel,0.000608686,
44,h2_dri,Oxygen Supply Electricity,feed,lin,kW / mtpy steel,0.005507939,
45,h2_dri,Electric Arc Furnace Electricity,feed,lin,kW / mtpy steel,6.534e-06,
46,h2_dri,Ladle Refining Electricity,feed,lin,kW / mtpy steel,0,
47,h2_dri,Miscellaneous Balance of Plant Electricity,feed,lin,kW / mtpy steel,0.007113805,
48,ng_dri_eaf,Steel Production,capacity,lin,mtpy,1953600,
49,ng_dri_eaf,Pig Iron Production,capacity,lin,mtpy,2328689.051,
50,ng_dri_eaf,Capacity Factor,capacity,lin,%,100,
